,VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
740,BVjvRpmHg0w,157,165,550906,clean,46,English,A woman is cutting broccoli.
9805,BVy9SQI5R68,0,7,550906,clean,33,English,A baby laying on it's back is crying.
43045,BefkDBj5gSw,104,109,682611,clean,45,English,A man is walking down a stone path.
34523,BgoOihBb78w,38,40,682611,clean,57,English,"Two boys are singing and dancing, one behind the other."
6650,BnJUWwSx1kE,11,22,550906,clean,52,English,A wombat is walking about.
4074,BtQEY2SL4g4,11,16,682611,clean,186,English,"A man using a pole nudges a cat off a tall utility-like  pole, and the cat leaps all the way to the ground and runs off."
2553,BtQtRGI0F2Q,15,20,682611,clean,166,English,"Several men or working at the top of a utility pole, when one man gets electrocuted then hangs upside down."
15298,BvHnDAsMtUA,0,13,760882,clean,24,English,A cat is playing with a toy mouse.
340,ByGspTdA1ug,16,24,326919,unverified,76,English,A person is sliding a cat across the floor.
42691,C12BRGGcd5E,101,117,280252,clean,45,English,A lady is talking and washing her hands.
1109,C1MNCR1o9lU,0,7,760882,clean,847,English,A woman bottle feeds a baby.
21787,C2rDp6FnbP0,10,17,682611,clean,60,English,A man sitting on a stool at a microphone is playing a guitar.
45199,C9LHk0AJI7U,196,205,760882,clean,19,English,A man is kneading dough.
38346,C9vRgZDxTv4,26,33,550906,clean,32,English,A man is riding a motorized bike.
4325,CBD9h0jUq3w,1,7,550906,clean,22,English,A man playing soccer on the beach
38974,CGllPWAwmUo,1,15,760882,clean,28,English,A man plays a violin on the roof of a house.
15863,CHFXTeQWXjo,206,212,550906,clean,36,English,Bruce Lee kicking several students in a fight.
4483,CHVhwcOg6y8,1,12,550906,clean,1296,English,Justin Bieber playing X-Box with a friend.
12707,CL49s8bO6Fg,1,11,682611,clean,293,English,"A kitten sniffs flowers on a red checked cloth on a table, walks to the wooden part of the table and looks at a small jack-o-lantern, then walks to the edge of the table and looks off, finally backing away."
17456,CTIKmoEigCI,3,30,550906,clean,71,English,A kitten tags a small dog.
6279,C_1cnNdMwxY,0,8,682611,clean,92,English,"A man is playing with a puppy on the floor, spinning the puppy around in circles and rubbing it's belly."
37327,C_DDjCRxTxQ,1,4,682611,clean,88,English,"Two women are reclining on a couch talking, one woman with her arm around the other."
26526,CcvJs77L-e8,15,22,682611,clean,157,English,Three people are carrying heavy canvas sacks as they are walking in the grass.
43361,Ce7equ9zCxk,4,19,682611,clean,62,English,"A phone is off the hook, and a bird appears to be dialing it with it's beak."
45534,CgWYN5e9K10,30,62,435773,clean,42,English,A cat is going to the bathroom in a toliet.
27214,Cjf21Y19aUQ,82,86,682611,clean,603,English,A long-haired man in a construction hat removes his sunglasses while he is talking.
26163,CjvMNwpAFWM,56,66,682611,clean,53,English,Two puppies are wrestling and nipping at each other.
34000,CquJjlNuotg,147,155,682611,clean,66,English,A man is cutting a cardboard plate with scissors.
37019,CulG2SMC7DU,14,25,682611,clean,80,English,A woman is lying on a blanket on a rock and reading a book.
36602,CwPfvoqmV1Q,58,61,682611,clean,56,English,A man is doing a wheelie on a motorcycle as he drives in circles.
42356,Cx1We6GX4IM,0,8,550906,clean,26,English,A dog is staring and wagging it's tail.
21539,Cxxx6wJ1jNo,0,10,682611,clean,79,English,Someone is holding a newborn kitten.
32984,D1X6qXkLjYE,41,49,682611,clean,115,English,A woman dancing in front of a microphone begins to sing while accompanied by a man on a keyboard.
11882,D1tTBncIsm8,725,740,682611,clean,184,English,"A man kicks a soccer ball into a goal, and a soccer ball knocks down a camera and tripod, barely missing the man who jumps out from behind it."
7108,D2FbgK_kkE8,121,151,550906,clean,16,English,a lady cutting a pineapple
16496,D9I1Z6O_mbw,141,146,682611,clean,67,English,A man and a woman are walking in the grass with their arms around each other.
12456,DAmOfcvfKZ0,22,32,550906,clean,28,English,a chef cutting a carrot
17044,DB-3-TVjrxU,58,75,550906,clean,25,English,A man boxing a bigger man.
592,DBvSfds3FH4,76,80,682611,clean,37,English,A woman is kneading dough.
44766,DDtX5a-OgLQ,1,15,878566,clean,17,English,A man is playing a guitar.
34598,DGQL5lx-mwE,2,12,550906,clean,33,English,A woman makes a huge bubble.
20257,DIToA1dDwGQ,32,42,682611,clean,54,English,"A woman, with one arm raised, is riding an elephant."
1865,DIebwNHGjm8,133,148,550906,clean,47,English,a girl in  the ocean on jet skii
21199,DJWmm_Q9WvY,1,25,878566,clean,22,English,A brown cow is eating grass in an open field.
22528,DKZg4kIEa0A,31,36,155632,clean,40,English,A boy is riding a skateboard.
18669,DKgHYLDebx0,0,8,760882,clean,90,English,A man in a suit is being scrubbed.
9882,DLcuZ-HnHZc,0,10,550906,clean,38,English,A woman petting a wallaby outside.
44474,DN7jwyL1Xgg,1,19,922727,clean,43,English,A spaceship is landing.
41092,DcDYRpa34W8,11,25,651813,clean,10,English,A baby is laughing.
8008,De815YpTBic,41,48,682611,clean,49,English,A small red car is being driven down a road.
40338,Dgf0VHMEtNs,57,66,682611,clean,69,English,Four people in surgical masks are operating on a man.
34708,DhwrBs96Kgk,120,124,257003,clean,51,English,A monkey is walking on water.
27315,DlOhXqKcLXk,7,14,682611,clean,61,English,A young woman is singing and playing the guitar.
23960,DuMkW35BwK8,43,47,135141,clean,105,English,A person is peeling the skin off a potato using a knife.
35749,DvYN53KBDr0,51,62,550906,clean,29,English,people destroying a car
304,E2r6nnkwl0c,6,18,825347,clean,15,English,A group of boys are jumping into a river.
32949,E4k0Aylzdyo,97,104,682611,clean,96,English,A woman climbs on the back of a motorcycle occupied by a man and puts on a helmet.
43808,E61HNXjgyqA,22,32,682611,clean,73,English,A woman wearing a headset is singing into a large microphone.
1237,E6sqA9QtV5I,195,201,682611,clean,100,English,"A man, with tatoos on his arm, is kissing a woman."
25563,EA-J-Y6QjUo,40,61,550906,clean,40,English,A cat opens a drawer and climbs in.
22297,EBWPZIjtnTM,1,6,550906,clean,16,English,a lady talking on the phone
25300,EKL6elkbFy0,16,30,550906,clean,59,English,A pencil is being sharpened.
28738,EPXsiQw9vvo,1,12,550906,clean,36,English,A teenage boy riding a dirt bike over a car
44309,EPgQ9QwbsLE,16,23,550906,clean,23,English,a boy playing with two frogs
17788,ETUJipdnfOM,0,5,682611,clean,46,English,A man is playing a saxaphone.
18273,EVqc7e8JCco,5,15,411294,clean,15,English,The zebras are playing.
32236,EXyp0Q7L1zE,30,38,682611,clean,94,English,A woman opens a window in a house on stilts and stands there primping her hair.
3089,Ea0thGZKPXA,25,35,155632,clean,35,English,A boy is playing a flute.
30835,Eamd2wMKixs,48,72,682611,clean,120,English,An airplane takes off and the wheels are drawn up inside the plane.
4608,EdrZtaBUXIo,25,29,682611,clean,70,English,Smoke is coming out of a jack-o-lantern.
21745,EiylMb_mWk4,2,20,381885,clean,207,English,A guy is singing while playing his guitar.
9731,EjAoBKagWQA,132,145,252681,clean,35,English,A male and a female robot are kissing.
9300,Els1Cclg_sk,4,15,682611,clean,73,English,Someone lifts up the back of a blue car and then drops it.
15813,EpMuCrbxE8A,107,115,550906,clean,34,English,The group Slayer plays a song onstage.
45957,EqOGzNkekMk,5,15,682611,clean,75,English,An extremely muscled man lifts a barbell with his right hand.
45237,EwTZ2xpQwpA,14,21,760882,clean,197,English,A boy is singing into a mic.
36179,F1BwUJ4--Qw,21,38,682611,clean,75,English,A man dressed as a cowboy quickly shoots various pistols and rifles.
8691,F2Ny7rq9RKs,139,148,651813,clean,18,English,A man is putting pepper into a bowl.
48531,F3pmw2ga244,59,65,326919,unverified,55,English,A baseball player hits a baseball.
7500,F44bLc6t7-I,1,8,275759,clean,44,English,A chef is serving food and speaking.
8436,FA3OfhJK0mI,195,203,682611,clean,98,English,The video flashes to several different couples kissing.
39042,FAD8CbQuvco,35,45,550906,unverified,56,English,A apple being peeled on a cutting board.
16457,FCjpuJaUec0,19,26,326919,unverified,52,English,A cat plays in a sink.
16076,FGjtmhI-Rmk,30,37,682611,clean,66,English,A young man is playing the piano.
6082,FH8vgAp4VDU,10,14,257003,clean,593,English,A man is getting down a staircase.
9637,FHwC2THZJfA,0,10,682611,clean,66,English,A raccoon-like animal is hanging off two ropes suspended from the ceiling.
9485,FOOM-wA2rOY,77,86,682611,clean,96,English,"A man grabs a woman, pulling her down to the ground, and appears to stab her."
15099,FTh5zPk34bQ,16,30,772960,clean,2105,English,A bald man is bleeding as his scalp is slit in a checked pattern while pins are driven into it and all over his face.
2764,FWzsXeXCwuc,106,110,682611,clean,54,English,A monkey is climbing at the head of a statue.
19101,FXWdmIHXS_U,3,10,682611,clean,49,English,Someone is playing an electric keyboard.
14437,FavUpD_IjVY,22,26,550906,clean,64,English,Cows are doing a synchronized dance.
26785,Fe4tO5vW9_E,64,70,550906,clean,85,English,Ingredients are being mixed in a bowl.
34933,FeTaKOPVaJg,15,25,550906,clean,47,English,A group of young girls are dancing on stage.
40655,Ffv7fhL1EDY,177,184,682611,clean,86,English,Two teams of men are playing soccer on a grass field.
17322,FoL7aWvpvNs,199,204,682611,clean,71,English,Someone is scrubbing the bottom of their bare foot with a toothbrush.
41313,FvfjDQj5sOY,1,10,280252,clean,52,English,A boy is playing a guitar and other boy is listing to its.
22890,FwCmcZpkk-k,22,32,682611,clean,120,English,"A woman and a man are seated at a small table eating sandwiches, sipping cokes through straws, and conversing."
15757,FxIuFwMhOu8,18,26,550906,clean,38,English,A cat rolls over to it's side.
40863,G-M78KIy19E,315,330,257003,clean,142,English,A man is felling a tree.
10559,G6w6kO8UPyg,31,41,682611,clean,52,English,A large dog is driving a car.
15178,GEXqMH8I3_w,63,68,682611,clean,131,English,A double-decked bus smashes into the top of a bridge or overpass.
30637,GMuijLIJH-U,1,10,682611,clean,65,English,A large group of people are outdoors line dancing.
22698,GPT4vUwlrXY,1,10,181773,clean,47,English,A boy is checking a calendar.
3739,GPyFZMJ5Dow,56,70,550906,clean,35,English,A man prepares hamburger.
7210,GWQTAe64m-0,91,94,682611,clean,67,English,A man is taking pictures with a camera of a woman modeling.
11159,GY5Dl00LrEI,2,13,297776,clean,41,English,A woman fires a shotgun.
19257,G_hxdUG6QXE,23,28,280252,clean,40,English,A boy is singing and playing a guitar.
6551,GcfWD62sbcs,13,33,682611,clean,122,English,"An animal, with his head caught in a tubular box, is frantically running around and jumping on hedges."
21606,Gh4Beb8StFM,29,50,550906,clean,675,English,A boy pops and locks onstage.
27917,GlW6n43pUQA,0,12,922727,clean,47,English,A man is dancing.
37125,Gm1WnWVXYzQ,0,9,682611,clean,101,English,A girl carrying books is walking down the street when a man in a jeep stops to talk to her.
23422,Gn4Iv5ARIXc,37,40,682611,clean,81,English,A airplane takes off and the scene flashes to a man with his harem.
35270,GnwKcpfr_ng,10,20,135621,clean,67,English,A man and woman are sitting at a tv newsdesk talking.
23650,Goj131_GxYs,2,7,682611,clean,84,English,Someone in a riding habit is riding a white horse in a fenced-in area.
13368,GopEjCCu2jo,2,9,651813,clean,73,English,A baby is smiling.
21296,GtrTNldo0LI,33,46,550906,clean,59,English,A person is shredding carrots.
24872,Gw0FU733zzg,58,66,550906,clean,34,English,A monkey pulls the tail of a dog.
10478,GyIs9B3A1Z0,0,7,550906,clean,18,English,two guy racing in the pool
25243,GzlnqrzdYHU,32,40,682611,clean,65,English,A man and a woman are on stage singing into hand-held microphones.
13651,H1Bok7Dg7g8,21,26,280252,clean,42,English,A cartoon-man is talking on a telephone.
2330,H7vezmDeZaw,2,7,411294,clean,28,English,The man ran and hit the wall.
33648,H9Oplnr8WcE,24,34,550906,clean,30,English,a person surfing a big wave
41812,HAjwXjwN9-A,16,24,682611,clean,67,English,"Women, with numbers on their backs, are skating in a roller derby."
1362,HBCJYhUjVf0,0,9,682611,clean,69,English,A lion jumps and hangs off the top of a fence in an enclosed area.
10825,HDcIB1e9s5A,28,34,682611,clean,61,English,A man and a woman are dancing in a field.
5700,HJHPB_Y8GZE,22,28,682611,clean,66,English,A dog is running and barking at his image in a walled mirror.
48486,HM-ZDoRWiH4,0,5,550906,clean,60,English,A man enters a room.
47302,HN-ccxID8IM,3,10,550906,clean,50,English,A lemur is sitting on the ground looking around.
32062,HO_ovIrLWfQ,1,11,257003,clean,59,English,A man is rowing a boat.
4180,HPFLN5azwtA,56,63,807872,clean,21,English,A badger digs a hole.
31998,HV12kTtdTT4,5,14,682611,clean,65,English,A cat is watching something on a television or computer screen.
14343,HVR7KpItLfA,62,70,760882,clean,190,English,A man is erasing a chalk board.
43833,HYbEf-JKZnA,13,26,252681,clean,105,English,"Using a knife, a man cuts through a row of bottles that are full of water."
27045,HZ-BuDDmvVk,0,10,760882,clean,22,English,A kitten is playing with a ball.
7400,HZqscSWtHmo,24,34,550906,clean,28,English,A man sings into a microphone.
20797,Hd-NeIhbYGc,43,48,682611,clean,50,English,A woman is riding a horse in a pasture.
26949,He7Ge7Sogrk,47,70,550906,clean,34,English,An elephant is painting a picture.
30322,HkpUWzNNVt4,20,30,257003,clean,90,English,Two couples are interacting.
20937,HkuOqWzXYVg,0,12,550906,clean,389,English,A baby otter moves about in his glass cage.
41730,HmVPxs4ygMc,44,53,550906,clean,39,English,Paper is being ripped apart.
5128,HqbVbPvlDoM,0,11,760882,clean,52,English,A woman and dog are walking together.
18949,Hu9Sq1RvuoA,19,62,155632,clean,39,English,A man is performing yoga.
25838,HxRK-WqZ5Gk,30,50,155632,clean,34,English,A boy goes down a water slide.
31177,HypgcCT1r68,38,46,550906,clean,56,English,A female teacher reads to the class.
40027,HzYtvOYOEoU,21,32,550906,clean,130,English,A group of women do a tribal dance.
20436,I9gLTZY1ouc,142,147,550906,clean,38,English,a person walking through the woods
46722,IAvBB2lv8iw,142,148,550906,clean,24,English,a man shooting a gun
42537,IBgsLmDcL78,80,84,550906,clean,348,English,A man slicing butter into a bowl.
39502,ID2xXlUENG0,19,24,550906,clean,21,English,motocross bikers racing in a street race
38892,IEQyCcageGg,99,126,550906,clean,45,English,Several images of rugby players are passing the ball to each other.
26232,IHIa75B9AhI,2,26,295615,clean,69,English,A female blows a huge gum bubble.
16823,INDhUwDMg-4,220,227,682611,clean,55,English,A man does several wheelies on a motorcycle.
27504,ITNh8tWZPOA,5,25,169605,clean,18,English,A guy is playing guitar.
42855,IWhrWLOAin0,1,4,682611,clean,52,English,A large dog gets something out of a refrigerator.
31585,IY1Fn796MoY,7,10,682611,clean,70,English,A boy cutting grass at the edge of a sidewalk turns and yells something.
24131,I_-Nb_0RxpM,1,15,682611,clean,70,English,A man is dancing on a sidewalk with his hands in his pants pockets.
3177,IhwPQL9dFYc,61,75,682611,clean,59,English,A woman dices a potato into tiny pieces with a knife.
33865,IhzXQ-gc9IQ,125,129,682611,clean,88,English,"A man is driving a car, and the man and woman passenger are smiling at each other."
16268,IiIiY6o-C9k,59,64,682611,clean,85,English,A man is talking about a box of something he is holding up that he had pulled out of a larger corrugated cardboard box.
9349,IiTzJQE67FA,36,46,550906,clean,52,English,A man is telling a story to people with masks.
17352,IpHJffM3G1c,412,418,159786,clean,805,English,A chef slices a loaf of bread in half.
964,ItFqogTmAvQ,389,395,682611,clean,80,English,A woman and a man are holding hands and running towards the ocean.
14151,Ixw6wmoC_xg,60,70,682611,clean,79,English,A group of young people attack an older man on crutches.
13234,IytNBm8WA1c,63,67,682611,clean,66,English,"A woman tosses a cat in the air, and the cat hangs off a rod on the ceiling."
10240,J---aiyznGQ,0,6,760882,clean,15,English,A cat is playing a piano.
1588,J3_hkgu6MGc,43,52,682611,clean,81,English,"A car driven down the street at night stops, and people start to get out."
4531,J4otiwOjQy8,98,112,682611,clean,94,English,A man is cutting up a tubular looking white vegetable with a purple rind.
6232,J7zb8YXrmIA,93,99,550906,clean,78,English,A guy rides the bike across the street
44701,J8cP93yG1Ao,14,24,682611,clean,56,English,Two cars racing on a track slide around the curves.
10366,JAFGw0WRHHU,108,116,682611,clean,127,English,A man kneeling next to a woman lying on the floor keeps patting her back as they talk.
25746,JIKaIriiK8w,0,15,257003,clean,171,English,A little puppy is turning on its back.
11593,JIoiUNOXGaI,8,13,682611,clean,62,English,A woman is carrying a huge plastic bag of cans over her back.
2067,JK1R9k1WDpc,6,15,682611,clean,138,English,A herd of elephants are walking single file down a path.
38706,JM4913Fe-ic,4,15,275759,clean,60,English,A baby is singing.
40239,JMUAylpXzG0,45,62,257003,clean,70,English,A woman is cutting pieces from a cake.
6703,JXSkYkiKO0I,42,46,550906,clean,70,English,A man does push-ups.
12932,JYNzY9jmsQQ,2,10,257003,clean,245,English,A dog is picking eatables from the earth and eating them.
39694,J_evFB7RIKA,104,120,682611,clean,64,English,Someone is removing the seeds from a green pepper.
19343,Jag7oTemldY,12,25,550906,clean,26,English,A man is yelling to animals.
4444,Je3V7U5Ctj4,582,587,682611,clean,45,English,Someone is sprinkling cheese on a flour tortilla.
19654,Jfu-WkuCgD0,140,150,682611,clean,70,English,Someone is holding and pointing to a sesame seed bun.
45469,JhCvLmf9yr0,46,50,550906,clean,34,English,Two women are slicing some lemons.
15138,Jj4uYHr65H8,28,35,295615,clean,65,English,"A man forecasts the weather, using a map."
43693,JktNQQnLblQ,4,9,550906,clean,643,English,A cartoon of a woman flipping a pancake.
38514,JledeVyklPw,1,6,651813,clean,16,English,A baby sneezes.
42883,JnNe61UZsdM,78,88,682611,clean,74,English,A blond woman in a slinky gown is dancing.
15258,JntMAcTlOF0,50,70,682611,clean,84,English,A young man is being chased through the woods by three other young men.
10395,JpjAgSvr42k,0,12,550906,clean,34,English,A baby biting on a stuffed animal.
13433,JsD6uEZsIsU,45,58,682611,clean,73,English,"A bearded, bald man is playing an acoustical guitar."
20007,JsmHZlUgf1w,0,21,550906,clean,36,English,A small dog playing in the grass.
46314,Jxw16bqzVqE,18,28,682611,clean,100,English,A panda is sitting eating some kind of plant matter.
36632,K-KVz3eqbnA,1,10,280252,clean,49,English,A girl and a boy are eating their food.
37087,K-czl524zxk,6,15,326919,unverified,43,English,A woman dials a cell phone.
19689,K1ZM0LSLVw8,481,487,682611,clean,98,English,A man is scooping the seeds out of what appears to be half of a peeled cucumber.
20547,K2LxyytY3Dw,104,112,682611,clean,66,English,Two men are karate kicking each other.
11273,K6xy6C-Hsa0,2,28,878566,clean,37,English,A man is slicing a row of mushrooms very quickly.
47899,KFt5Zz5Mwlo,12,30,550906,clean,45,English,A cat playing on a trampoline.
8359,KIEWo_xJ5nU,0,7,651813,clean,16,English,A baby animal is squealing.
5363,KPPCwmU5OHQ,480,486,682611,clean,95,English,Someone is stirring a kettle of soup with metal tongs.
18108,KUc1cWKXjDc,20,30,550906,clean,37,English,Two ducklings wander about outside.
14179,KeSQ5Rv7eH8,73,79,550906,clean,158,English,A Monkey waits on people in a restaurant.
9672,Kf8oZGHDTt4,4,13,550906,clean,40,English,Rocky and Apollo jogging on the sand.
24971,Kms3EXosNS0,8,17,550906,clean,23,English,a chef pealing a onion for a dish
31834,KpmVL4ANieA,0,9,682611,clean,81,English,"A monkey pulls a dogs tail, runs away, then comes back and yanks at the dog's leg, again running away."
18635,KqKUXRHHkCc,101,105,682611,clean,89,English,A young man gets hit in the face by a gooey substance.
10264,Kqb-mmkEWqU,1,5,922727,clean,41,English,A boy is kicking a ball.
47263,KrBeBabazDU,15,20,682611,clean,81,English,A teenage girl shakes her head after hanging up a phone.
3643,Kxa0mnDj0bs,113,124,772960,clean,257,English,A polar bear has placed its chin and fore limbs on the snow and is moving ahead by walking on its hind legs.
30002,L6dEUQ6WiHY,136,142,682611,clean,109,English,"A man jumps from a wooden structure to a wooden dock and slips, falling backwards into the water."
22486,L8h2DazQZJY,0,10,675312,clean,101,English,A girl is riding a horse and jumping barriers.
5899,L9wD3kw-8FE,65,73,550906,clean,40,English,A man chopping a tree with a big knive
30376,LEz0puaKNTk,38,48,297776,clean,35,English,A man kneads a wad of dough.
19541,LF51fban_x4,300,325,550906,clean,31,English,A man making a bed in a hotel.
30501,LLkehH86ABY,30,36,682611,clean,66,English,A young man seated on the floor is playing a guitar.
691,LQ-jv8g1YVI,1,6,760882,clean,21,English,A cat is on a robot.
43390,LSuVRWPoHr0,0,37,550906,unverified,214,English,A carrot being sliced and diced.
8190,LYSPQqUvNO0,43,57,550906,clean,1508,English,A dog fishing in the lake.
10101,LacBy2NT3YQ,12,17,992484,unverified,76,English,A rhino takes a walk.
39203,Li3umATsU0E,1,5,682611,clean,92,English,A cat staring into the camera meows.
33046,LjimLwAhAOQ,5,15,181773,clean,30,English,A girl is taking on the phone to another girl.
23488,LqPIBHAmt4E,22,30,651813,clean,30,English,A man is playing guitar.
17259,Lr8ds5iY5uk,8,15,550906,clean,36,English,A man is giving a lecture on a podium.
3026,Lt1JijkvSKk,0,10,682611,clean,180,English,An animal sitting on someone's lap in a car is playing with a small object on a chain attached to the window.
14025,LuQ0KiMMhoI,49,64,297776,clean,38,English,A man arranges books on a shelf.
7302,Lw0eGsYxElA,11,14,682611,clean,60,English,A man in a suit snaps a stick in half.
46844,LwicaralvS0,90,104,760882,clean,25,English,A man pours sugar in his coffee and drinks it.
16295,LwvyrDxM2G0,0,11,309959,clean,20,English,A man held a baby monkey in his hand.
38159,Ly5D0z9gKtc,15,20,760882,clean,19,English,Kids are eating burgers in a kitchen.
18430,LyYJiKxHZz0,0,10,374994,clean,19,English,Runners are racing on a stretch of road.
14716,Lyp7MiaCXNE,114,120,682611,clean,67,English,Someone adds a few drops of clear liquid to a kettle with an eyedropper.
23762,M4It3DrhbE0,13,22,550906,clean,45,English,A kitten tries to subdue a bunny.
2273,MF88IYF2MHY,25,59,550906,clean,41,English,An angry cat hissing and scratching.
30236,MHIVmf42Ao4,31,36,435773,clean,25,English,A man is pouring pancake mixture into a frying pan.
23814,MHWxjWwAbwM,10,25,682611,clean,61,English,A dog climbs up some carpeted stairs.
41051,MICawzo1MqI,3,13,280252,clean,47,English,A man is making a call on his mobile.
5786,MJNStEgDKXU,3,10,309959,clean,31,English,The dog sat down and barked a welcome.
5276,MJoxGpEswOI,9,16,550906,clean,39,English,a basketball player making a shoot while lying on the ground
9609,MMnnqzOoMF0,68,72,682611,clean,77,English,A girl moves a picnic-like table one way and a boy moves it back.
8553,MPuKVz3sjBA,1,12,550906,clean,21,English,A baby laughing on the couch.
31025,MSrJTeKNzdI,32,36,682611,clean,51,English,Someone is snow skiing down a slope.
13746,MTjrZthHwJQ,2,11,651813,clean,10,English,Two dogs are swimming.
449,MTkGPfMRXtc,5,21,548844,unverified,32,English,Rubber band trouble.
29211,MW21lp833Vo,143,149,682611,clean,64,English,A man is crying while tying a rope into a noose.
10630,MWvCcwTw7Ac,154,181,550906,clean,38,English,A dog biting on a can.
36352,MWzeInQaUk4,12,20,682611,clean,80,English,"A man, accompanied by a band, is singing into a microphone and playing a guitar."
37357,MY-rGamtAJc,6,22,550906,clean,28,English,A cat stares out of the window.
99,M_TP6UTrh30,343,358,374994,clean,37,English,A band is performing for a large crowd.
29580,MdOAr_4FJvc,5,15,169605,clean,15,English,A boy is playing piano.
10769,MoqC84sXu88,47,59,252681,clean,16,English,A man is walking on a tightrope.
23045,MqS82kBtUHQ,0,12,135621,clean,136,English,A dog is laying in front of a mirror looking at it's reflection.
37938,MrMG15y3rWU,5,13,159786,clean,1931,English,A frog attacks someone's finger.
28325,MrQd1zUVRUM,103,110,762891,clean,16,English,The women were kissing each other.
630,Ms3QdGIzltU,1,16,772960,clean,173,English,A brown Hamster is eating some nutshells placed on a table.
41987,Mutb8BHFvzk,15,20,878566,clean,34,English,A man breaks an apple in half with his hands.
40462,MwOEK-KXSPc,1,10,682611,clean,198,English,A monkey is brushing the hair of a large white dog.
33424,N2Cm0SLr0ZE,18,29,155632,clean,19,English,A boy is playing guitar.
40491,N3A7944_UJw,63,70,550906,clean,46,English,A chef cooking food
46142,N5wsl86P37Q,1,15,550906,clean,31,English,A person is playing the keyboard.
15026,N6SglZopfmk,97,111,550906,clean,625,English,A man applying shaving cream to his face.
46663,NFxWwI0J3As,78,84,878566,clean,29,English,A girl is riding a horse bareback.
23363,NKtfKR4GNjU,0,20,550906,clean,49,English,A boy playing baseball.
43284,NMlKMfiHSho,1,15,682611,clean,154,English,A cat is trying to use it's mouth and paws to get a small plastic bottle someone is holding.
46638,NNYLo1OeZ-Q,48,54,682611,clean,69,English,Someone is scrubbing a zucchini with a brush under the running water from a faucet at a sink.
48109,NUYu9c9XsgY,7,21,550906,clean,22,English,a person hands typing on a computer
18064,NV6pq1W-I4g,7,16,280252,clean,44,English,A woman is smoking a cigarette.
27591,NVGGgncVq-4,111,117,682611,clean,138,English,A girl is running as the ground is cracking open behind her and she drops her stuffed bear.
37156,NZWiKMZS_k8,39,48,215924,clean,42,English,A girl combs her hair.
12008,NaX51emUDn4,0,20,550906,clean,36,English,A cat stares at a dish being filled with water.
10862,NbOlG7THecM,25,34,682611,clean,157,English,Someone is cutting a strip off a rectangular block of wood with a band-saw.
18595,Nd45qJn61Dw,0,10,682611,clean,87,English,A man in a surgical mask is holding two small animals in the palms of his gloved hands.
36012,Ne87egvJnWo,0,3,651813,clean,65,English,A man is breaking bricks with his foot.
2946,NjCqtzZ3OtU,303,307,550906,clean,42,English,A woman places a small box in her mouth.
45915,NjblUomxFQo,100,108,760882,clean,32,English,Women are using a blender.
22805,NoCgvH4xZHo,240,251,682611,clean,59,English,A woman is cooking pineapple slices in a pan on a grill using tongs.
3268,O06WXS_XZN0,0,6,550906,clean,37,English,A man is petting a tied up dog.
28608,O2qiPS2NCeY,2,18,550906,clean,27,English,A bird is eating from a dish in a tree.
43309,O9cOSO9L8Zs,1,16,922727,clean,21,English,A man is swinging on a rope.
30205,O9yLRzpPp44,36,55,682611,clean,143,English,A woman is talking while opening and applying a tube of mascara to her lashes.
31921,OBLIjdMIIt8,54,61,760882,clean,32,English,A group of cars are driving down a road.
37051,OCcy9TDRGKo,118,127,682611,clean,99,English,Someone is sprinkling cheese on toasted slices of French bread.
30999,OE6H_M52Sng,89,97,682611,clean,172,English,A man squeezes the liquid out of some mixture wrapped in a cloth into a pan and then talks about it.
26468,OIg10Bl7urs,0,10,682611,clean,49,English,A cat is eating corn on the cob.
8987,OIjsSu_I4So,6,10,682611,clean,64,English,A truck or van is being driven down a road.
20112,OKBLPpAPp9c,2,17,550906,clean,46,English,A person is drawing on a piece of paper.
32267,OO-5-eVEKPA,25,31,682611,clean,52,English,A young girl seated on stage is playing a baby-grand piano.
2028,OUII8_aOfNM,60,69,777192,unverified,15,English,A butcher cutting up meat.
14599,OVEe1DMsOq0,43,52,297776,clean,36,English,A number of ferrets wander around in a cage.
22267,O_NWtDShLeg,21,25,682611,clean,67,English,A woman is watching a man fill up the gas tank of a car.
47594,O_Pst-uryQI,1,14,682611,clean,170,English,"A woman appears to be hit by lightening and is bleeding at the mouth, and a crying man holds her prone body as they talk to each other."
30032,OaBmAg6gz30,4,18,682611,clean,77,English,Someone is slicing a cucumber using a hand slicer.
27119,ObBss94n3gI,35,46,550906,clean,33,English,A man slices an onion.
40212,OfgSCMxttCc,86,92,682611,clean,79,English,A man is holding up and talking about a gray You Tube T-shirt.
19758,Okg8QYhdtvU,48,53,550906,unverified,71,English,A knife is being sharpened
3134,OpR1Er5o6IY,209,217,617730,clean,30,English,A man dangles a mouse for a snake to eat.
15642,Oq3FV_zdyy0,843,855,411294,clean,16,English,The girl is using sign  language.
22240,OvRmRN1-O0Q,21,25,682611,clean,77,English,Two women in nightgowns are running from some kind of monster.
44622,Ow_o78zjo14,42,57,651813,clean,15,English,A monkey is playing drums.
43236,OxL9z2BzBnk,0,19,550906,clean,37,English,A small puppy wagging it's tail.
10138,P2WM91LENgk,40,50,682611,clean,85,English,"A man is seated, singing into a microphone and playing a guitar."
15072,P4IjNV3lZkQ,136,144,682611,clean,794,English,A woman pours oil into a skillet from a plastic bottle while she is talking.
14745,P6eo3LULuuc,1,11,651813,clean,13,English,A car is driving.
