,caption,video_id,sen_id
31080,a guy is giving a speech to an audience,video176,31080
15620,a boy is performing a song on the voice,video1760,15620
90480,a clip from a wrestling match,video1761,90480
25520,a beginning of a cartoon,video1762,25520
8900,a boy being shown singing,video1763,8900
9220,a boy cooking in his way around the kitchen,video1764,9220
51940,a mouse clicking on various things on a computer screen,video1765,51940
126800,an adult teaches many young children inside of a small classroom,video1766,126800
66240,a child tells the judge that she is going to be singing a song while tap dancing,video1767,66240
130340,a father wearing a blue shirt tickles his son under the chin,video1768,130340
53220,a lady cutting boiled eggs into pieces,video1769,53220
460,a  guy flexing his arms,video177,460
138460,some people are doing different things in different occasions ,video1770,138460
94300,a collage of an asian girl,video1771,94300
21120,a band is singing onstage,video1772,21120
98320,a narrator describes the dark nature of breaking bad while displaying scenes from this show,video1773,98320
121460,there is a woman with long brown hair smiling to someone,video1774,121460
8600,a boy explaining something on plate,video1775,8600
96960,video game characters going to war with a blonde hair muscular character,video1776,96960
127780,a person is preparing a food on a white plate,video1777,127780
9200,a boy cries on the voice,video1778,9200
85400,a demonstration of a video game,video1779,85400
29380,a girl is singing with colorful background,video178,29380
62000,a celebrity is being interviewed,video1780,62000
37900,a female teacher talking about her job,video1781,37900
86720,a display of a hockey player making a goal,video1782,86720
57300,a man discusses a men s foot race,video1783,57300
38840,a film trailer,video1784,38840
99460,there is a man walking  through the forest with a lady,video1785,99460
23900,a beautiful girl acting in the film,video1786,23900
36620,a game cube is solved,video1787,36620
17900,a barefoot woman raps in the middle of a dance floor,video1788,17900
119680,there is a man in white is laying down on the ground,video1789,119680
39560,a girl in a soccer uniform confronts a guy on a soccer field,video179,39560
84000,a drummer is playing to the music solo,video1790,84000
99340,the process of how a printer works,video1791,99340
31300,a guy drinking coffee ,video1792,31300
4380,a badger attacks a lion,video1793,4380
48980,a woman sings,video1794,48980
16040,a boy is sitting on a motorbike,video1795,16040
109380,a person talking about the basil leaves and showing a bottel of basil leave and to use one table spoon of basil while cooking,video1796,109380
77620,a car review of a gmc truck,video1797,77620
128400,a woman showing a little girl how to put on a pad,video1798,128400
97480,a variety of salads is shown each one unique in it s own way  the first two salad s do not contain meat,video1799,97480
95600,a comedian actor talking in a cloths shop,video18,95600
65360,a cartoon show is enacted,video180,65360
49260,girls are dancing in a dance studio,video1800,49260
5640,a ball has broken a car s window,video1801,5640
114740,a grocery list written on white paper includes lamb and carrots,video1802,114740
29420,a girl is singing on stage,video1803,29420
101720,there is a woman explain about a fish in the kitchen,video1804,101720
19540,a band is performing on stage,video1805,19540
103200,a skier rolls down a slope with woods to the right,video1806,103200
18980,a basketball player does a double dunk,video1807,18980
5120,a band is being interviewed,video1808,5120
32080,a guy is giving instructions for a game,video1809,32080
99100,a boat sailing in the ocean with a rocky landmass in view,video181,99100
94800,a clip with women speaking about their careers,video1810,94800
92920,a computer tutorial is being shown,video1811,92920
75760,a cartoon firetruck is putting out a fire,video1812,75760
129920,men in military uniform are travelling on war vehicles they are walking,video1813,129920
23220,a black woman is talking,video1814,23220
123460,a kid in white dress with another kid wearing boots,video1815,123460
117400,a person shows the preparation of south indian chapathi,video1816,117400
137780,classical music plays as a german city and a large lake are shown from above,video1817,137780
7480,a athletic pair of people are shown with their stats on display,video1818,7480
71920,a car exploding and people dying,video1819,71920
53640,a lion is shown with another lion walking through the field,video182,53640
42700,a girl giving a flute recital,video1820,42700
39840,a girl is applying a spa treatment to her face,video1821,39840
137180,small amounts of spices including cinnamon cardamom pods peppercorns and cayenne pepper are displayed on a white plate,video1822,137180
95500,a comedian doing a one man show,video1823,95500
135100, a group of seven men are talking about trading bits,video1824,135100
111600,a woman putting makeup on the man and the man doesn t like it,video1825,111600
83580,a family is having coversation,video1826,83580
23060,a blonde woman carries a white box around,video1827,23060
137740,a lady with a jacket enters a building,video1828,137740
12760,a boy and a girl plotting against one another,video1829,12760
104620,there is a man in yellow is running on the road,video183,104620
137520,an intellectual explains that function follows form and uses your bones as an example,video1830,137520
42780,a girl demonstates how to do a backflip on a trampoline,video1831,42780
1740,a 17 year old girl is talking about being on her laptop,video1832,1740
127680,in a tennies court 4 players playing very well,video1833,127680
56920,a man describing a cars motor,video1834,56920
320,70 s  band performing live,video1835,320
76760,a carpenter makes some measurements along a wall,video1836,76760
121020,gordon ramsay cuts the onions and garlic and stuffs them into the cooked meat,video1837,121020
89700,a clip from saved by the bell,video1838,89700
3400,2 men eat salad drink from red cups and one performs telekinesis in a comedic video,video1839,3400
64680,a cat and a dog are playing,video184,64680
12160,a boy and girl watching the frozen son let it go on a monitor in different languages,video1840,12160
89680,a clip from auditions for a reality talent show,video1841,89680
12200,a boy and man talk about drugs,video1842,12200
12360,a boy and a girl are talking in a car,video1843,12360
60,a man conducting a science experiment,video1844,60
46180,a man fixing his car,video1845,46180
133560,a man talking about medicine and data analyze,video1846,133560
76500,a cartoon cow is talking to another cow and eating corn,video1847,76500
14020,a building is on fire,video1848,14020
119520,a large number of people in colorful clothing are crossing the street at a parade,video1849,119520
26200,a group is singing on a stage,video185,26200
131440,a gray haired news anchor with a purple tie discusses an election,video1850,131440
78780,a cartoon animation showing birds sitting on a tree and swinging monkey,video1851,78780
76740,a carpenter making interior design,video1852,76740
68780,a child carrying a container of toys,video1853,68780
82540,a couple are eating some dishes,video1854,82540
102720,a lamborghini with green bucket seats and shiny lime green paint is displayed,video1855,102720
101220,the man in black dress standing outside area and play the guitar well,video1856,101220
89420,a clip showcasing a wrestler walking down a walkway,video1857,89420
116840,there is a man in side a library talking ,video1858,116840
134440,pinocchio walks down a cobble stone street past a fox and a cat wearing human clothing,video1859,134440
119260,four animal handlers pet a young baby tiger,video186,119260
98640,a man in red is playing table tennis in a court,video1860,98640
49640,a speaker wearing a headdress is addressing an audience,video1861,49640
90960,a clip of a person mixing a paster in a bowl,video1862,90960
25580,a bee lands on a plant,video1863,25580
48280,a rap song plays as soccer players play on the field,video1864,48280
23160,a blond girl auditions on the voice,video1865,23160
54900,a guying giving santa a check,video1866,54900
20360,a band performing on stage to a crowd,video1867,20360
102560,a guy is cutting a root in half then slicing the each half into pieces,video1868,102560
58780,a man drawing a picture of a person,video1869,58780
139660,there is a man talking about a place,video187,139660
132880,a shiny white aston martin car has leather bucket seats in the front,video1870,132880
82160,a couple is getting ready to eat some food,video1871,82160
99440,a man in a white tee shirt wearing a backpack walks through a rock filled creek,video1872,99440
125660,a dog is tromping through a stream and searching for fish,video1873,125660
52820,a lady is singing a song on a video,video1874,52820
1660,a 19th century film is shown with some well-dresed women and an african american man,video1875,1660
6800,a advertisement about the causes of drink and drive,video1876,6800
52920,a lady describes a recipe,video1877,52920
10880,a boxer lands a punch on his rival,video1878,10880
78400,a cartoon about superman leaving his boyhood farm,video1879,78400
133100,there are many people gathered in the stadium to watch basket ball match,video188,133100
51160,a man playing video games,video1880,51160
85000,a fast motion depiction of a man drawing a flower with a pencil,video1881,85000
13140,a boy talking with teacher,video1882,13140
70620,a car crash happens on a busy road,video1883,70620
119320,women in red dress is preparing food in kitchen,video1884,119320
119620,a lady in weird dress is making fashion statements here,video1885,119620
54960,a guy unwrapping some candy,video1886,54960
87940,a clip of a video game where someone is calling billy,video1887,87940
90460,a clip from a vice news story,video1888,90460
58020,a man examines dirt,video1889,58020
70380,a car driving on the road,video189,70380
22740,a blond woman is singing and playing a song at a piano,video1890,22740
30180,a girl places her bag on a table,video1891,30180
109220,a dead fish sits on a green and white plate next to spices and ingredients,video1892,109220
580,4th of july fireworks,video1893,580
112380,an animated man pours dog food into a red dog food bowl and then picks up his briefcase up from the table,video1894,112380
137120,a girl and her mother are walking in a parking garage and they are going to look at puppies,video1895,137120
119020,there is a man in black is talking with a man,video1896,119020
138920,a black and whit cat having fun in the bathtub,video1897,138920
97900,some one showing the graphs of industrial revolution,video1898,97900
83980,a drunk man and a valet have a conversation,video1899,83980
129440,two men during a tenis match the commentator is speaking french,video19,129440
6860,a advertisement shows to subscribe to other channels,video190,6860
129420,a small kid in a blue shirt opens up a car-themed egg to find a tall toy,video1900,129420
35000,a full-sized man rides a comically small motorcycle through a residential neighborhood,video1901,35000
76080,a cartoon clip of baby muffets in a court room,video1902,76080
120020,a group of girls are competing in volleyball game,video1903,120020
129980,on bloomberg news they are discussing if blackberry is turning around business again,video1904,129980
87560,a clip of groundhog day and south park,video1905,87560
119660,a woman adds spinach to a red pan with cooked meat and stirs it with a spoon,video1906,119660
100700,girl reviewing grooming wipes recommended to her by her vet for her bulldog,video1907,100700
44120,a man is fitting screw,video1908,44120
43980,a man is driving a small motorcycle down the road,video1909,43980
129020,a man is doing the hair of multiple cheerleaders,video191,129020
61800,a celebrity getting interviewed on a late light talk show,video1910,61800
46460,a man folds a piece of paper on a table,video1911,46460
77140,a cartoon about dragons,video1912,77140
35560,a football player dances with his team-mates,video1913,35560
33760,a grown man plays with girls  pony toys,video1914,33760
97660,three people in white chefs hats sing to a diner about a fish dinner,video1915,97660
12140,a boy and girls is describing the fashion,video1916,12140
128600,a house is filled with expensive and lavish chairs and rugs,video1917,128600
32320,a guy is sanding a piece of wood on the floor,video1918,32320
860,4 men with suits on sitting at a table discussing hiliary clinton,video1919,860
97580,a man in black shirt is busy preparing something,video192,97580
76200,a cartoon child is lifted into the air by a star,video1920,76200
103340,a view from helicopter is shown of a snow maountain,video1921,103340
44960,a man is speaking and few crowd hearing it,video1922,44960
101040,people gathered near the sea watching sinking van,video1923,101040
24480,a bbc reporter interviews a professor,video1924,24480
17640,a bare shaking in the woods,video1925,17640
124040,different cartoon superheroes are standinga doctor rubs the face of a person who has red face,video1926,124040
130260,a man with suit talking in front of the camera,video1927,130260
127220,a child feeds a carrot to a pony that is in a white corral with other ponies,video1928,127220
133380,a man in  a red shirt gets tackled in soccor,video1929,133380
78320,a cartoon about word girl,video193,78320
16940,a baseball player hits a ball and it is out at first base,video1930,16940
101200,somone in a panda suit in a hospital room knocking something over,video1931,101200
50380,a minecraft character is singing to another character,video1932,50380
117260,two men and a woman are talking about an actress in a movie,video1933,117260
127860,a woman at a purple table is showing off a toy spider in a clear plastic case,video1934,127860
133720,a red haired woman with bright blue eyes applies makeup to her face and neck with a brush,video1935,133720
29500,a girl is singing and dancing,video1936,29500
132080,a movie clip showing an ancient historical site,video1937,132080
95340,a comedy show of mr,video1938,95340
94700,a close up of hands playing a piano,video1939,94700
5440,a band is on stage playing country music,video194,5440
16860,a baseball player is sliding into second base,video1940,16860
44840,a man is smiling and thinking,video1941,44840
120600,a movie trailer of james cameron s titanic movie,video1942,120600
90740,a clip of a man and a woman talking to each other,video1943,90740
1920,a  tutorial on how to draw cartoons via a computer program,video1944,1920
116540,a woman with long brown hair drives a car past green trees,video1945,116540
42940,a girl dances in the living room,video1946,42940
108620,soft guitar music plays over pictures of a beach comunity,video1947,108620
47560,a man is adjusting a frame in a garage,video1948,47560
95880,a comedic song about the houston texans football team,video1949,95880
93800,a computer game which involves certain characters,video195,93800
118340,there is a man in white is talking with a woman,video1950,118340
11320,a boat travels along the water,video1951,11320
74100,a bustling city and its architecture is being shown on tv,video1952,74100
117420,a man in black shirt is going on water rafting,video1953,117420
23500,a blocky video game character is running towards a flight of stairs while dodging arrows and firing back at his assailant before finally reaching the stairs and walking up them victoriously,video1954,23500
7060,a an is giving a lecture,video1955,7060
123780,a fox news anchor in a blue tie sits in a news room and speaks about the republican national committee,video1956,123780
132900,a black haired man in a blue striped shirt excitedly discusses current events,video1957,132900
73820,a camera showing the insides and outsides of an airplane,video1958,73820
104680,a biker comments on an accident that he drove by,video1959,104680
38120,a flood is happening on the streets,video196,38120
49680,a slideshow of pictures with quotes are being shown,video1960,49680
94720,a close up of different food dishes,video1961,94720
20820,a band plays some music,video1962,20820
51900,a movie theater is playing a movie about muppets as babies,video1963,51900
21140,a band is singing on stage,video1964,21140
70080,a cartoon image of a talking sponge talking to his pet snail,video1965,70080
30840,a guy is being interviewed here,video1966,30840
115800,a man with spiky hair talks with a news reporter about golf,video1967,115800
360,a  boy jumps on a trampoline,video1968,360
74440,a cartoon character jumps from platform to platform,video1969,74440
95000,a commander explaining about the game scene,video197,95000
52200,a news clip showing people working on a board,video1970,52200
50400,a minecraft character goes outside at night,video1971,50400
135320,a girl in a white tank top is removing her hair using a glade hair removal tool,video1972,135320
45780,a man giving a presentation,video1973,45780
140,a band is singing for a music video,video1974,140
72200,a car is being displayed,video1975,72200
75560,a cartoon farmer speaks to a cartoon super-hero,video1976,75560
10940,a boy a playing with a cat,video1977,10940
106000,in a shuttle court two women are playing shuttle in front of spectators,video1978,106000
97440,a brunette woman stands near water in a still photograph a dark-eyed brunette woman looks into the camera in a still close-up picture,video1979,97440
127360,it is a conversation between few young people and a gentleman in a auto workshop,video198,127360
53580,a list of needed items is being compiled,video1980,53580
102920,its a animated lot of colors moving,video1981,102920
73720,a camera shoot of a model on the beach,video1982,73720
4660,a baby dog is nursing on its mother,video1983,4660
45080,a man is playing a video game and commentating,video1984,45080
48300,a players are fighting on stage to win,video1985,48300
42340,a girl eating snacks with her friend,video1986,42340
100820,a woman talking about a man being killed by lightning,video1987,100820
117060,the news reading woman in violet dress do the interview with two  persons,video1988,117060
117300,a lorry is moving through the mud and river very hardly ,video1989,117300
105300,there is a man talking with a check shirt man,video199,105300
21200,a band is singing,video1990,21200
5780,a ballet dance is being performed,video1991,5780
122920,a news anchor sits at a desk in a red lit studio in front of two very large tv displays,video1992,122920
126280,a street with traffic shown first then a setting of  custom made convertables are being displayed,video1993,126280
68080,a child is playing with a toy,video1994,68080
116720,a man scrolls through his computer screen as different icons flash to the right of the screen,video1995,116720
138120,a man discussing the functions and features of a car,video1996,138120
51000,a man is water skiing behind a boat,video1997,51000
45280,a man is reporting news on vladimir putin,video1998,45280
121820,a lady from exotic kitchen is going to explain how to make fried maggie,video1999,121820
54880,a guying showing a tool,video2,54880
68800,a child being presented a bowl,video20,68800
54820,a guy talks over minecraft gameplay,video200,54820
6480,a animated clip of spongebob squarepants,video2000,6480
60640,a man being interviewed,video2001,60640
50440,a metal song plays while different pictures of guitars show up,video2002,50440
78480,a cartoon about muslims,video2003,78480
122660,a man wearing jeans and sneakers walks across red gravel to his stylish white car,video2004,122660
22280,a black couple is dancing in front of other people sitting at tables,video2005,22280
3460,2 men are working on brake pads,video2006,3460
75840,a cartoon helicopter is flying over cars,video2007,75840
72360,a bunch of people are doing odd things in various locations such as posing behind a mannequin s body or throwing paper balls at a friend,video2008,72360
84460,a female is cooking a meal in a frying pan,video2009,84460
114660,a video showing around in a room which have a black color bag on floor and cream color liquid in a glass bowl,video201,114660
96300,a lady in a blue dress is holding a piece of necklace,video2010,96300
6140,a animate character is hungry,video2011,6140
77160,a card is shown,video2012,77160
124000,a speed drawing of a demonic looking robot bunny,video2013,124000
98520,a man with grey t-shirt arguing with a man in white shirt,video2014,98520
65720,a class full of women move their body watching a black guy dance,video2015,65720
43320,a guy showing some tips on a movie website,video2016,43320
37980,a female speaker is giving a speech to a large crowd,video2017,37980
114640,someone on a motorcycle riding fast down a road the man in front of him fell off his motorcycle,video2018,114640
52420,a lady is doing an interview about a movie,video2019,52420
105560,an oriental woman is cooking in a wok while narrating what she s doing,video202,105560
16640,a boy is singing and a man monitors,video2020,16640
123720,an indian family out to lunch gossiping makes their male companions uncomfortable,video2021,123720
120740,all persons are eating on the table with several foods,video2022,120740
83420,a family is talking to each other,video2023,83420
12080,a boy and stuffed animals are moving in stop and go format,video2024,12080
14520,a bride and groom sing,video2025,14520
14640,a broadcaster is describing justin buchanan as the worst person in the sports world,video2026,14640
114120,a man is shooting the elephant who is walking ,video2027,114120
81260,a countryesque song is playing while we see: a woman dancing by a pool and palm trees a man dancing on stage with a banjo,video2028,81260
63660,a cartoon of a character with no body,video2029,63660
133680,there is a man in a lab is working,video203,133680
52480,a lady is angry while talking,video2030,52480
34820,a frizzy haired teen sings on stage,video2031,34820
71680,a car is driving on the road,video2032,71680
62600,a cheetah plays while men talk,video2033,62600
5000,a band is giving a performance during a concert,video2034,5000
91720,a commerical advertising the mclobster at mcdonalds,video2035,91720
95020,a coming attraction depicting war,video2036,95020
98680,a little girl is showing her hair under the tree,video2037,98680
132660,some screenshots of baseball players swinging bats,video2038,132660
96120,a man is riding cycle above the bridge and other ways,video2039,96120
66360,a chinnesse guy in a car,video204,66360
108500,two men commenting on sports the man of the left is wearing a yankees hat,video2040,108500
38740,a fighting match in a gym,video2041,38740
108300,the boy and girl standing in the lawn and the celebrations made in outside,video2042,108300
16880,a baseball player hits the ball,video2043,16880
87840,a clip of a woman taking about a video,video2044,87840
16540,a boy is singing,video2045,16540
54560,a large white octopus moving around,video2046,54560
23860,a beautiful girl is doing circus,video2047,23860
100180,men are in a shop arguing about a device that one of them is using,video2048,100180
80300,a cut scene from a video game set in a war,video2049,80300
27920,a group of girls doing a workout session,video205,27920
82960,a couple getting married,video2050,82960
86840,a diglett fights a voltorb in an epic pokemon battle,video2051,86840
100240,there is a satellite is moving in to the space,video2052,100240
94560,a clip taken from an asian sitcom,video2053,94560
135720,men are playing soccer and a man in a red shirt and a man in a yellow shirt get tackled,video2054,135720
90600,a clip of a man showing his minecraft items he stole,video2055,90600
51440,a panoramic view of a snowy area,video2056,51440
66420,a chinese commercial is playing classical music,video2057,66420
85240,a feature review for a childs stroller,video2058,85240
52240,a news channel talks about a school board shake up and then a ballerina is shown dancing in a dance studio,video2059,52240
31680,a guy playing a guitar,video206,31680
107200,asian carp jump as they swim up river and are caught by the dozen by fishermen,video2060,107200
36560,a game is being played,video2061,36560
134240,in a fish shop kids are looking at sharks,video2062,134240
41640,a gaming enthusiast talking as he plays,video2063,41640
86480,a doctor takes questions in a lecture,video2064,86480
40440,a girl is reading a book,video2065,40440
125040,there is a woman making a simple and taste dish,video2066,125040
30520,a girl shows how to paint her finger nails,video2067,30520
44340,a man is folding paper into a shape,video2068,44340
100860,a bbc newscaster in a dark blazer and a blue shirt announces the death of former british prime minister margaret thatcher,video2069,100860
65700,a chorus of men are singing in a serious manner,video207,65700
119800,a woman and her daughter strut down a makeshift wooden runway,video2070,119800
118280,british roy couple leaving the hospital with thier baby daughter in a suv,video2071,118280
136680,its a big green color forest and a mountains,video2072,136680
93720,a computer is being displayed,video2073,93720
140080,there is a black tshirt man is talking in front of a screen,video2074,140080
33300,a group of people are applauding,video2075,33300
45800,a man giving a presentation,video2076,45800
30600,a guy in a video blogs about a fragrance,video2077,30600
49740,a video about a girls hair,video2078,49740
33840,a group of yoiung guys narrating a video game that they are playing,video2079,33840
85680,a demonstration on origami,video208,85680
10640,a bot is demonstrating his origami skills,video2080,10640
19500,a band is performing on stage while images of soldiers are superimposed so the viewer can barely see them,video2081,19500
94860,a clip with a man talking about an upcoming movie based on a comic,video2082,94860
91140,a clip from the youtube series kids react,video2083,91140
108640,a woman is stirring some kind of red food in a saucepan while cooking,video2084,108640
2160,a 3d animated video featuring an elephant hopping around,video2085,2160
68500,a chef watches another chef cook,video2086,68500
37840,a female voice offscreen is talking about her ferrets she holds a white ferret and talks about how it used to be grey and then puts the ferret down next to a brown ferret on top of a large ferret kennel/cage/home,video2087,37840
53520,a little league baseball game shows a batter ready to hit a homerun,video2088,53520
138360,an oriental young man is riding on a scooter and runs into another man he knows together they will lead the viewers to check out an island,video2089,138360
41580,a girl begins her tutorial on making glitter shoes,video209,41580
46080,a man giving a speech and doing a presentation,video2090,46080
40040,a girl interviewing a celebrity,video2091,40040
100720,the horse rose that happened at the,video2092,100720
129700,the planet earth rotating on its axis slowly,video2093,129700
87900,a clip of a woman getting ready to play the guitar,video2094,87900
91160,a clip from the voice,video2095,91160
56800,a man explains the schools goals,video2096,56800
128620,ted cruz speaks with a white haired man during the presidential debate,video2097,128620
67260,a clip from a music video,video2098,67260
27940,a group of girls doing a dance outdoors,video2099,27940
123140,there is a man is talking about a product,video21,123140
39580,a girl in a pink princess dress in an advertisement for rosie s party,video210,39580
40860,a girl is in bed,video2100,40860
18460,a basketball player shoots a basket,video2101,18460
660,3d animation sequence involving violence and blood,video2102,660
33860,a group of workers are working in a factory,video2103,33860
81120,a cooking demonstration and tutorial provided by two young females,video2104,81120
68820,a child and women are dancing in the fields,video2105,68820
35880,a game plays while a girl discusses strategy,video2106,35880
34260,a group of people talking on the phone,video2107,34260
89900,a clip from an unknown movie,video2108,89900
33360,a group of of young adults at school,video2109,33360
96620,some one showing the video of new introduction of machine,video211,96620
86680,a documentary about the musician,video2110,86680
29280,a girl is singing a song on stage,video2111,29280
14320,a bridal couple dance together,video2112,14320
73420,a cafe sign with animals,video2113,73420
110500,there is a woman is jumping across the river sitting above the horse,video2114,110500
16680,a boy is singing a song on the stage with guitar,video2115,16680
69300,a child sings on stage,video2116,69300
138640,a woman with black sunglasses is standing on a beach talking about being in a beach town with people who try to sell things to you while you are the beach,video2117,138640
138680,a man in a green hat is walking around times square and describing what he is seeing,video2118,138680
70760,a car almost driving into another car,video2119,70760
111500,there is a orange tshirt baby is eating something,video212,111500
30020,a golfer drives a ball,video2120,30020
35080,a funny video of a man dressed like a woman talking about dough,video2121,35080
137080,a black suit man is talking in a show,video2122,137080
16280,a boy is singing on stage,video2123,16280
1280,a 3d remake of what jesus christ might have looked like,video2124,1280
14480,a boy walking with his mother,video2125,14480
134340,the black colour volkswegan car made the ride into the forest,video2126,134340
113400,lingerie models walk the runway with flash and confidence,video2127,113400
38640,a few young girls talk about a youtube channel,video2128,38640
62460,a chef is cooking meat in a pan,video2129,62460
85620,a deputy prime minister is talking to an audience,video213,85620
67440,a clip form the dr phil show,video2130,67440
64280,a cartoon woman is swimming in the ocean,video2131,64280
111800,a man in a plaid hat displays a pound of shrimp with the head and shell in a blue bowl,video2132,111800
48100,a short clip of two lions chasing an antelope,video2133,48100
620,3d animation video clip with toddlers and a robot,video2134,620
2780,2 male voice as speaking about a video game being shown,video2135,2780
93000,a computer screen is shown,video2136,93000
47040,a man is demonstrating a math equation,video2137,47040
59180,a man and a woman conducting a science experiment,video2138,59180
21680,a black man speaking at a microphone,video2139,21680
37260,a few men are eating food,video214,37260
56620,a hip hop artist interviews people,video2140,56620
98940,a man talking about how he loves france and how france has given him everything,video2141,98940
12660,a boy and girl are talking in a room,video2142,12660
68340,a child is holding and looking for a hamster,video2143,68340
127260,a man in brown over coat is talking to somebody here,video2144,127260
126020,a man in grey shirt is talking to a man in white shirt,video2145,126020
7380,a animation of some kids and a monkey,video2146,7380
3920,a advertisement about a computer,video2147,3920
72800,a bunch of people dancing,video2148,72800
33520,a group of people are on stage performing,video2149,33520
90420,a clip from a wrestling match,video215,90420
103040,a man explains security features of the british gchq and american nsa facilities showing pictures of both,video2150,103040
7980,a animated lego bit about the creature from the black lagoon,video2151,7980
79460,a couple of guys talking about a video game,video2152,79460
94400,a clip taken inside a foreign indian country,video2153,94400
122740,an older man talks to a young boy in an online video game,video2154,122740
29660,a girl twisting her long hair,video2155,29660
47680,a man in jeans and a black pullover sweater worn over a white collared shirt is weaving baskets and i believe he is outside,video2156,47680
119940,there are some fish flying above the water,video2157,119940
130120,call bw collision today at 972-438-6766 and satisfaction is guaranteed,video2158,130120
95060,a comical clip of a rapper on a stage talking with other people,video2159,95060
19560,a band is performing music for an audience,video216,19560
46580,a man folds a paper airplane on a wooden surface,video2160,46580
17240,a basket ball game between the lakers and the heat,video2161,17240
93600,a computer game is shown here,video2162,93600
700,3d animation of late night hosts david letterman and jay leno as well as a child watching them on 2 tvs,video2163,700
98340,a blue boat floats down a body of water surrounded by large rock cliffs,video2164,98340
105780,there is a man explains about a website with details,video2165,105780
102180,these basket ball men are explaining how important the atmosphere is before the game,video2166,102180
107920,a women prepares some food and keeps it on a plate,video2167,107920
4040,a baby stroller is being displayed,video2168,4040
102360,there are some details about a movie,video2169,102360
9660,a boy is eating a popsicle,video217,9660
2840,3 people are moving along together,video2170,2840
8360,a boy doing some magic,video2171,8360
110800,a woman talking about a recipe there is flour in the bowl,video2172,110800
53400,a lady applying makeup,video2173,53400
53720,a lmafo music video,video2174,53720
4920,a baby is playing with a piece of paper,video2175,4920
126420,a crowd of reporters come around a man in a white suit who appears on television,video2176,126420
96180,a blue shirt man driving a vehicle with control,video2177,96180
60680,a man being interviewed on new in a foreign language,video2178,60680
53560,a list of things you will need to make a origami,video2179,53560
62620,a character puts down his crossbow,video218,62620
89480,a clip from saturday night live of a woman talking,video2180,89480
62900,a cheetah is fighting another animal,video2181,62900
23040,a blonde woman is laughing,video2182,23040
116640,there is an aeoroplane is going to take on towards the sky,video2183,116640
66200,a child trying to go inside of a store that is closed,video2184,66200
30120,a girl plays with spongebob dolls,video2185,30120
73840,a busty woman on her knees,video2186,73840
30260,a girl poses in a bathing suit for a photo shoot,video2187,30260
29580,a girl is walking in the hallway,video2188,29580
16980,a baseball player celebrates with his team,video2189,16980
53840,a magician talks to a woman in a green dress about a magic trick,video219,53840
57620,a man delivers a lecture on new technology,video2190,57620
105360,a man in suit talking something seriously  out side,video2191,105360
86200,a dark scene is going on,video2192,86200
76480,a cartoon dog is saying he can t sleep,video2193,76480
117720,there are some lean and stylish ladies for modelling ,video2194,117720
51740,a person demonstrating how to do a project with a paper plane and a toy car track,video2195,51740
6540,a animated character wearing a king s crown,video2196,6540
34900,a freddy krueger video,video2197,34900
94820,a clip with two men talking to the camera,video2198,94820
95380,a commentator explains what happens physiologically during athletic events,video2199,95380
120240,a chinese girl talking with a man and trying to show something with chop sticks in hand,video22,120240
111860,short clips of a zombie movie and television show while a womans voice explains how the zombie genre is growing in popularity,video220,111860
113240,there is woman with curly hair is talking from a room,video2200,113240
280,a  cartoon star person,video2201,280
10460,a boy attaching a wheel to car,video2202,10460
118840,someone puts carrots and other various vegetables into a blender,video2203,118840
43180,a girl discusses the best way to pack a bag,video2204,43180
134720,there is a man driving a car through the village,video2205,134720
93620,a computer game that simulates a woman owning a dog,video2206,93620
49240,girls are doing cheers,video2207,49240
122720,a person playing a shooting video game with adult language subtitles,video2208,122720
34240,a group of people talking paintings,video2209,34240
13220,a boy talking about the drums,video221,13220
131380,a man is introducing  some  game cd s on the screen,video2210,131380
109160,a man in suit is seated and talking a teacher is teaching in a classroom and students are taking down notes along with their laptops,video2211,109160
60200,a man cooking food,video2212,60200
80,a couple of men wrestling on the ground,video2213,80
137020,a large bird flies and soars over a mountaintop in scotland,video2214,137020
131300,there is well reputed man is is talking something seriously,video2215,131300
104780,someone is drawing circles in a pan i believe to make a crepe,video2216,104780
126620,a white shite man is talking alone in a big roominfront if a computer,video2217,126620
120,a boy wears a black tie,video2218,120
31220,a guy demonstrating his fake vomit,video2219,31220
108380,a tablespoon of some powder and few other ingredients are being added to a glass bowl with a spoon,video222,108380
27280,a group of men and women talking to each other in various costumes,video2220,27280
80080,a crowd watches a wrestling match,video2221,80080
73680,a busy market place,video2222,73680
69260,a child speaks to a camera for a video segment,video2223,69260
134520,a woman takes a hairbrush and grooms her pet white horse,video2224,134520
31600,a guy is giving a tutorial on how to use a computer,video2225,31600
80540,a critic reviews a song featuring chris brown and tyga,video2226,80540
125860,britney spears wears a black dress and dances provocatively,video2227,125860
71780,a car goes down a street,video2228,71780
79860,a couple on a motorcycle going through some grass and water,video2229,79860
15520,a boy is having conversation with a man,video223,15520
19760,a band is performing a song on stage,video2230,19760
114940,a well reputed man is talking to the audience ,video2231,114940
19700,a band is performing indoors,video2232,19700
137320,there is a suit man is talking in front of a skeleton,video2233,137320
117560,an indian video showing a man stopping people and talking to them,video2234,117560
75360,a cartoon character is passed out,video2235,75360
71380,a car is driving down the road,video2236,71380
98900,jude law talks about effective therapies like forsythia not on the cdc,video2237,98900
120780,ingredients for preparing food are kept in a table,video2238,120780
98180,someone is trying to catch a big spider,video2239,98180
45060,a man is playing a video game which involves shooting with a bow,video224,45060
124340,there is a man is throwing a ball,video2240,124340
